antibiotic;class
AMIKACIN;Aminoglycoside
AMINOGLYCOSIDE;Aminoglycoside
APRAMYCIN;Aminoglycoside
AVILAMYCIN;Orthosomycin
AZITHROMYCIN;Macrolide
BETA-LACTAM;Beta-lactam
BLEOMYCIN;Glycopeptide
CARBAPENEM;Beta-lactam
CEPHALOSPORIN;Beta-lactam
CHLORAMPHENICOL;Aphenicol
CLARITHROMYCIN;Macrolide
CLINDAMYCIN;Lincosamide
COLISTIN;Polymyxin
EFFLUX;EFFLUX
ERYTHROMYCIN;Macrolide
FLORFENICOL;Amphenicol
FOSFOMYCIN;Phosphonic
FUSIDIC ACID;Fusidane
GENTAMICIN;Aminoglycoside
HYGROMYCIN;Aminoglycoside
KANAMYCIN;Aminoglycoside
KASUGAMYCIN;Aminoglycoside
LINCOMYCIN;Lincosamide
LINCOSAMIDE;Lincosamide
MACROLIDE;MACROLIDE
METHICILLIN;Beta-lactam
MUPIROCIN;Topical
NITROIMIDAZOLE;NITROIMIDAZOLE
OLEANDOMYCIN;MACROLIDE
OXAZOLIDINONE;Synthetic
PHENICOL;Amphenicol
PLEUROMUTILIN;Pleuromutilin
PRISTINAMYCIN;Streptogramin
QUINOLONE;QUINOLONE
RETAPAMULIN;Pleuromutilin
RIFAMPIN;RIFAMYCIN
RIFAMYCIN;RIFAMYCIN
SPECTINOMYCIN;Aminocyclitol
SPIRAMYCIN;Macrolide
STREPTOGRAMIN;Streptogramin
STREPTOGRAMIN B;Streptogramin
STREPTOMYCIN;Aminoglycoside
STREPTOTHRICIN;Aminoglycoside
SULFONAMIDE;Synthetic
TELITHROMYCIN;Ketolide
TETRACENOMYCIN;Tetracycline
TETRACYCLINE;Tetracycline
THIOSTREPTON;Thiopeptide
TIGECYCLINE;Glycylcycline
TOBRAMYCIN;Aminoglycoside
TRIMETHOPRIM;Sulfonamide
TYLOSIN;Macrolide
VANCOMYCIN;Glycopeptide
VIRGINIAMYCIN;Streptogramin
