Cage	Individual	Type	time_point	Value1	Value2	Value3	Value4	Value5	Mean_value	Date	Weight	normalized
Cold 8	AH1_2nd_8	CI	0	1.08	1.09	1.09	1.08	1.07	1.082	03/07/2023	4.32	0.250462963
Cold 4	AH1_2nd_5	CI	0	1	1	0.98	0.98	0.98	0.988	03/07/2023	3.55	0.278309859
Cold 16	AH1_2nd_9	CI	0	1.03	1.07	1.05	1.03	1.02	1.04	03/07/2023	5.88	0.176870748
Cold 17	AH1_2nd_14	CC	0	1.14	1.11	1.08	1.08	1.07	1.096	03/07/2023	5.84	0.187671233
Cold 6	AH1_2nd_19	CC	0	1.09	1.09	1.08	1.08	1.07	1.082	03/07/2023	5.25	0.206095238
Cold 11	AH1_2nd_7	CC	0	1.03	1.02	1.01	1.02	1.03	1.022	03/07/2023	5.12	0.199609375
Cold 9	AH1_2nd_1	CC	0	1.02	1.02	1.02	1	1	1.012	03/07/2023	5.09	0.198821218
Cold 14	AH1_2nd_2	CI	0	0.98	0.97	0.96	0.97	0.97	0.97	03/07/2023	5.22	0.185823755
Cold 18	AH1_2nd_12	CC	0	0.98	0.98	0.95	0.96	0.94	0.962	03/07/2023	3.72	0.258602151
Cold 10	AH1_2nd_11	CI	0	1.01	1	0.99	1	0.98	0.996	03/07/2023	4.66	0.213733906
Cold 13	AH1_2nd_10	CI	0	0.9	0.9	0.89	0.89	0.9	0.896	03/07/2023	3.03	0.295709571
Cold 5	AH1_2nd_13	CI	0	0.87	0.88	0.87	0.87	0.88	0.874	03/07/2023	2.82	0.309929078
Cold 3	AH1_2nd_15	CC	0	0.94	0.93	0.92	0.92	0.9	0.922	03/07/2023	3.93	0.234605598
Cold 1	AH1_2nd_17	CC	0	0.95	0.95	0.93	0.94	0.95	0.944	03/07/2023	4.06	0.232512315
Cold 15	AH1_2nd_6	CI	0	1.08	1.08	1.09	1.07	1.05	1.074	03/07/2023	5.59	0.192128801
