user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
AH1_2nd_10:bin_000001	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Limenecus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Limenecus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	96.33	11	0.94561	N/A
AH1_2nd_10:bin_000007	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	93.9	11	0.59973	N/A
AH1_2nd_10:bin_000009	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	94.52	11	0.91832	N/A
AH1_2nd_10:bin_000010	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CALURL01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CALURL01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	91.5	11	0.93272	N/A
AH1_2nd_10:bin_000018	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__MGBC140009;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__MGBC140009;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	93.35	11	0.91706	N/A
AH1_2nd_10:bin_000025	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	91.7	11	0.59755	N/A
AH1_2nd_10:bin_000040	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	83.77	11	0.91955	N/A
AH1_2nd_10:bin_000041	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	N/A	N/A	N/A	N/A	N/A	GCF_900760675.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp900760675	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_934754975.1, s__Alistipes sp934754975, 95.0, 83.32, 0.169; GCF_902388705.1, s__Alistipes sp902388705, 95.0, 82.28, 0.239; GCF_021204515.1, s__Alistipes sp021204515, 95.0, 82.23, 0.223; GCF_025145285.1, s__Alistipes onderdonkii, 95.0, 82.14, 0.265; GCF_000265365.1, s__Alistipes finegoldii, 95.0, 82.09, 0.25; GCF_025145845.1, s__Alistipes shahii, 95.0, 81.1, 0.162; GCF_900541585.1, s__Alistipes sp900541585, 95.0, 80.92, 0.15; GCF_900083545.1, s__Alistipes provencensis, 95.0, 80.71, 0.164; GCF_900107675.1, s__Alistipes timonensis, 95.0, 80.53, 0.158	83.28	11	0.98615	N/A
AH1_2nd_10:bin_000042	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	N/A	N/A	N/A	N/A	N/A	GCA_019120055.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes excrementavium	82.04	0.21	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	83.14	11	0.9774	N/A
AH1_2nd_10:bin_000044	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	81.17	11	0.95147	N/A
AH1_2nd_10:bin_000049	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_014287585.1, s__Parabacteroides hominis, 95.0, 82.71, 0.299; GCF_902493135.1, s__Parabacteroides sp902493135, 95.0, 82.17, 0.256; GCF_003363715.1, s__Parabacteroides acidifaciens, 95.0, 81.89, 0.264; GCA_900760525.1, s__Parabacteroides sp900760525, 95.0, 81.81, 0.249; GCA_019411205.1, s__Parabacteroides sp019411205, 95.0, 81.62, 0.181; GCF_900552465.1, s__Parabacteroides sp900552465, 95.0, 81.26, 0.222; GCF_025151215.1, s__Parabacteroides merdae, 95.0, 80.85, 0.194; GCF_025151045.1, s__Parabacteroides johnsonii, 95.0, 80.69, 0.184; GCF_900155425.1, s__Parabacteroides massiliensis, 95.0, 80.54, 0.169; GCA_910577325.1, s__Parabacteroides sp910577325, 95.0, 79.6, 0.156	80.5	11	0.98132	N/A
